FID,OBJECTID,SHAPE_Leng,Tipo,NombrePlie,Shape__Length
1,4,0.449378752553,Sinclinal,Sinclinal del Desespero,50169.686002824
2,5,0.31569891784,Sinclinal,Sinclinal de Santa Bárbara,35237.3806807917
3,6,0.166605650049,Sinclinal,Sinclinal de Río Upía,18602.9587360799
4,7,0.0190009667044,Sinclinal,,2124.27731986369
5,8,0.0851525758906,Sinclinal,,9507.26664386584
6,9,0.0334904303411,Sinclinal,,3735.65248105343
7,10,0.208387818815,Sinclinal,,23250.8166939874
8,11,0.0300026894469,Sinclinal,,3350.92450354416
9,12,0.0375354724296,Sinclinal,,4195.77874324219
10,13,0.017834712123,Sinclinal,,1990.35466298985
11,14,0.140121128659,Sinclinal,,15648.9672144127
12,15,0.0630013651762,Sinclinal,,7027.78559465803
13,16,0.131143614779,Sinclinal volcado,Sinclinal de San Miguel,14647.8885244774
14,17,0.130880414336,Anticlinal,,14614.1838366456
15,18,0.175061196178,Anticlinal,Anticlinal de Río Upía,19546.8378522989
16,19,0.016374080845,Anticlinal,,1827.78385979004
17,20,0.175305113417,Anticlinal,,19567.1098874585
18,21,0.059907049035,Anticlinal,,6686.6014122388
19,22,0.045643165276,Anticlinal,,5099.98578268155
20,23,0.0815463978752,Anticlinal,,9107.98939285498
21,24,0.109641031133,Anticlinal,,12249.5287986274
22,25,0.222734036423,Anticlinal,,24867.9812154571
23,26,0.607717262175,Anticlinal,Anticlinal de Paya,67940.1841092281
24,27,0.0875409000271,Anticlinal,,9777.52950986428
25,28,0.134962251699,Sinclinal inferido,,15059.257336726
26,29,0.155564363469,Sinclinal,,17382.8270309531
27,30,0.123991518157,Anticlinal,,13853.1451388342
28,31,0.0410670768911,Sinclinal,,4589.09488471246
29,32,0.183268597282,Sinclinal,,20467.2800836603
30,33,0.0561502705167,Sinclinal,,6276.43889532374
31,34,0.0599674941436,Anticlinal,,6694.91384085734
32,35,0.0948674450827,Sinclinal,Sinclinal de Esmirla,10589.3583134082
33,36,0.0425133236187,Sinclinal,,4752.14330179744
34,37,0.107829977211,Sinclinal,,12049.4752265206
35,38,0.0793829607432,Anticlinal,,8866.40906453145
36,39,0.106452997968,Anticlinal,,11896.4146895406
37,40,0.159331787095,Anticlinal,,17790.0992564827
38,41,0.0648239082139,Sinclinal cubierto,,7241.14987395766
39,42,0.112474815168,Anticlinal,,12550.4163351372
40,43,0.0734594880081,Anticlinal,,8206.10347142044
41,44,0.0963612938715,Sinclinal,,10767.913266927
42,45,0.180538354752,Sinclinal,,20173.0992162149
43,46,0.147437412793,Sinclinal,,16461.5069111639
44,47,0.0704485525453,Anticlinal,,7857.93452759672
45,48,0.14880986336,Sinclinal,,16630.6548308042
46,49,0.193066587154,Sinclinal,Sinclinal de Aguilera,21579.9867437499
47,50,0.0762087289398,Sinclinal,,8515.55673096887
48,51,0.0694162889973,Anticlinal,,7757.95494555112
