Fecha-Hora  (UTC),Lat(°),Long(°),Prof(Km),Mag.,Tipo Mag.,Rms(Seg),Gap(°),Error Lat(Km),Error Long(Km),Error Prof(Km),Region,Estado,lat_corregida,lon_corregida,municipio,departamento,cod_municipio,cod_departamento
41685.21057870371,7027,-74262,45.747,4.5659,MLr_vmm,0.3,106,45902.0,45871.0,45783.0,"Yondó (Casabe) - Antioquia, Colombia",Manual,7.027,-74.262,CANTAGALLO,BOLÍVAR,160,13
41685.29553240741,5531,-74618,0.0,4.5749,MLr_vmm,0.2,300,45907.0,45904.0,45665.0,"Puerto Salgar - Cundinamarca, Colombia",Manual,5.531,-74.618,PUERTO SALGAR,CUNDINAMARCA,572,25
41685.30005787037,8938,-73775,45.67,0.0001,MLr_vmm,0.2,262,5.0,45659.0,45908.0,"Tamalameque - Cesar, Colombia",Manual,8.938,-73.775,TAMALAMEQUE,CESAR,787,20
41686.850694444445,8404,-74125,45.795,4.587,MLr_vmm,0.2,149,3.0,45809.0,45906.0,"Norosí - Bolívar, Colombia",Manual,8.404,-74.125,RIOVIEJO,BOLÍVAR,600,13
41694.37033564815,8939,-74087,0.014,9e-05,MLr_vmm,0.2,317,45812.0,45872.0,45693.0,"Hatillo de Loba - Bolívar, Colombia",Manual,8.939,-74.087,BARRANCO DE LOBA,BOLÍVAR,074,13
41694.56914351852,8978,-74137,0.013,7e-05,MLr_vmm,0.3,323,45904.0,5.0,45874.0,"Barranco de Loba - Bolívar, Colombia",Manual,8.978,-74.137,HATILLO DE LOBA,BOLÍVAR,300,13
41694.825590277775,7565,-74139,0.004,4.5658,MLr_vmm,0.2,165,45839.0,45839.0,45873.0,"San Pablo - Bolívar, Colombia",Manual,7.565,-74.139,SAN PABLO,BOLÍVAR,670,13
41695.06421296296,7736,-73757,0.038,0.0001,MLr_vmm,0.5,147,45815.0,45662.0,45724.0,"Simití - Bolívar, Colombia",Manual,7.736,-73.757,PUERTO WILCHES,SANTANDER,575,68
41695.498136574075,8985,-74107,45.765,0.0001,MLr_vmm,0.4,323,45845.0,45755.0,45873.0,"Barranco de Loba - Bolívar, Colombia",Manual,8.985,-74.107,HATILLO DE LOBA,BOLÍVAR,300,13
41695.76657407408,6905,-74715,0.05,0.0002,MLr_vmm,0.2,202,45810.0,45841.0,45696.0,"Remedios - Antioquia, Colombia",Manual,6.905,-74.715,REMEDIOS,ANTIOQUIA,604,05
41695.89063657408,8775,-74063,0.0399,5.9999999999999995e-05,MLr_vmm,0.1,172,45907.0,45846.0,45877.0,"Altos del Rosario - Bolívar, Colombia",Manual,8.775,-74.063,BARRANCO DE LOBA,BOLÍVAR,074,13
41695.98556712963,7866,-73201,0.0001,5.9999999999999995e-05,MLr_vmm,0.2,167,45872.0,45841.0,45905.0,"Cáchira - Norte de Santander, Colombia",Manual,7.866,-73.201,ÁBREGO,NORTE DE SANTANDER,003,54
41696.10119212963,7924,-74012,0.0384,7e-05,MLr_vmm,0.4,207,45843.0,45664.0,4.0,"Santa Rosa del Sur - Bolívar, Colombia",Manual,7.924,-74.012,SANTA ROSA DEL SUR,BOLÍVAR,688,13
41696.10909722222,8654,-73460,45.916,5e-05,MLr_vmm,0.1,238,2.0,45901.0,45780.0,"El Carmen - Norte de Santander, Colombia",Manual,8.654,-73.46,EL CARMEN,NORTE DE SANTANDER,245,54
41696.27048611111,7204,-74213,0.0292,0.0002,MLr_vmm,0.5,115,45810.0,45872.0,45722.0,"Puerto Wilches - Santander, Colombia",Manual,7.204,-74.213,CANTAGALLO,BOLÍVAR,160,13
41696.584548611114,7573,-74052,0.0,4.5658,MLr_vmm,0.3,102,45901.0,3.0,45664.0,"San Pablo - Bolívar, Colombia",Manual,7.573,-74.052,SAN PABLO,BOLÍVAR,670,13
41696.81849537037,8428,-74180,45.774,5.9999999999999995e-05,MLr_vmm,0.1,160,45689.0,45901.0,45691.0,"Tiquisio (Puerto Rico) - Bolívar, Colombia",Manual,8.428,-74.18,NOROSÍ,BOLÍVAR,490,13
41697.06827546296,6183,-73712,45.865,4.5717,MLr_vmm,0.4,243,45909.0,3.0,45908.0,"Landázuri - Santander, Colombia",Manual,6.183,-73.712,VÉLEZ,SANTANDER,861,68
41697.28769675926,8583,-74198,0.049100000000000005,4.587,MLr_vmm,0.5,179,45904.0,45781.0,45664.0,"Tiquisio (Puerto Rico) - Bolívar, Colombia",Manual,8.583,-74.198,TIQUISIO (Puerto Rico),BOLÍVAR,810,13
41697.695185185185,8985,-74113,45.729,4.5778,MLr_vmm,0.1,323,45690.0,45659.0,45841.0,"Barranco de Loba - Bolívar, Colombia",Manual,8.985,-74.113,HATILLO DE LOBA,BOLÍVAR,300,13
